Date & Time,Company Name,Percent Change
11:07 AM 02.06.2022,3M,0.02%
11:06 AM 02.06.2022,A.O. Smith,1.84%
11:08 AM 02.06.2022,Abbott Laboratories,-0.04%
11:08 AM 02.06.2022,AbbVie,-1.16%
11:06 AM 02.06.2022,ABIOMED,3.80%
11:07 AM 02.06.2022,Accenture,1.29%
11:08 AM 02.06.2022,Activision Blizzard,0.62%
11:07 AM 02.06.2022,Adobe,1.97%
11:07 AM 02.06.2022,Advance Auto Parts,0.68%
11:07 AM 02.06.2022,AES,0.18%
11:07 AM 02.06.2022,Aflac,-0.53%
11:07 AM 02.06.2022,Agilent Technologies,2.95%
11:07 AM 02.06.2022,Air Products and Chemicals,1.88%
11:07 AM 02.06.2022,Akamai,0.46%
11:07 AM 02.06.2022,Alaska Air Group,0.63%
11:07 AM 02.06.2022,Albemarle,3.09%
11:07 AM 02.06.2022,Alexandria Real Estate Equities,-0.01%
11:08 AM 02.06.2022,Align Technology,3.58%
11:07 AM 02.06.2022,Allegion,0.57%
11:07 AM 02.06.2022,Alliant Energy,-1.77%
11:07 AM 02.06.2022,Allstate,-1.11%
11:08 AM 02.06.2022,Alphabet A,1.24%
11:07 AM 02.06.2022,Alphabet C,1.27%
11:07 AM 02.06.2022,Altria,-1.39%
11:07 AM 02.06.2022,Amazon,0.17%
11:07 AM 02.06.2022,Amcor,0.42%
11:08 AM 02.06.2022,AMD,4.52%
11:06 AM 02.06.2022,Ameren,-0.56%
11:07 AM 02.06.2022,American Airlines,0.14%
11:07 AM 02.06.2022,American Electric Power,-0.71%
11:07 AM 02.06.2022,American Express,1.25%
11:07 AM 02.06.2022,American International Group,-0.41%
11:07 AM 02.06.2022,American Tower,0.49%
11:05 AM 02.06.2022,American Water Works,0.14%
11:03 AM 02.06.2022,Ameriprise Financial,0.45%
11:07 AM 02.06.2022,AmerisourceBergen,-1.47%
11:07 AM 02.06.2022,Ametek,0.66%
11:08 AM 02.06.2022,Amgen,-2.91%
11:07 AM 02.06.2022,Amphenol,1.46%
11:08 AM 02.06.2022,Analog Devices,0.79%
11:07 AM 02.06.2022,ANSYS,2.62%
11:08 AM 02.06.2022,Anthem,-1.71%
11:07 AM 02.06.2022,Aon,0.99%
11:08 AM 02.06.2022,APA Corporation Registered Shs,0.09%
11:08 AM 02.06.2022,Apple,-0.05%
11:08 AM 02.06.2022,Applied Materials,0.02%
11:07 AM 02.06.2022,Aptiv,1.34%
11:07 AM 02.06.2022,Archer Daniels Midland,1.67%
11:07 AM 02.06.2022,Arista Networks,1.59%
11:07 AM 02.06.2022,Arthur J. Gallagher,0.16%
11:08 AM 02.06.2022,Assurant,-0.44%
11:08 AM 02.06.2022,AT&T,-0.54%
11:08 AM 02.06.2022,Atmos Energy,-0.98%
11:08 AM 02.06.2022,Autodesk,1.58%
11:08 AM 02.06.2022,Automatic Data Processing,0.23%
10:57 AM 02.06.2022,AutoZone,-0.85%
11:07 AM 02.06.2022,AvalonBay Communities,-0.35%
11:07 AM 02.06.2022,Avery Dennison,0.88%
11:08 AM 02.06.2022,Baker Hughes,-0.84%
11:08 AM 02.06.2022,Ball,0.83%
11:08 AM 02.06.2022,Bank of America,-0.86%
11:08 AM 02.06.2022,Bank of New York Mellon,0.47%
11:08 AM 02.06.2022,Bath & Body Works,-1.31%
11:08 AM 02.06.2022,Baxter International,-1.40%
11:08 AM 02.06.2022,"Becton, Dickinson",-0.13%
11:08 AM 02.06.2022,Berkshire Hathaway,-0.47%
11:08 AM 02.06.2022,Best Buy,-0.40%
